location,date,variant,num_sequences,perc_sequences,num_sequences_total
Sweden,2021-03-22,non_who,907,7.42,12213
Sweden,2021-04-05,B.1.160,32,0.34,9474
Sweden,2021-04-05,B.1.620,0,0.0,9474
Sweden,2021-04-05,B.1.258,15,0.16,9474
Sweden,2021-04-05,B.1.221,16,0.17,9474
Sweden,2021-04-05,B.1.1.302,5,0.05,9474
Sweden,2021-04-05,B.1.1.277,0,0.0,9474
Sweden,2021-04-05,B.1.1.519,0,0.0,9474
Sweden,2021-04-05,B.1.367,0,0.0,9474
Sweden,2021-04-05,B.1.177,129,1.36,9474
Sweden,2021-04-05,Beta,514,5.43,9474
Sweden,2021-04-05,Alpha,8629,91.08,9474
Sweden,2021-04-05,Gamma,16,0.17,9474
Sweden,2021-04-05,Delta,2,0.02,9474
Sweden,2021-04-05,Kappa,3,0.03,9474
Sweden,2021-04-05,Epsilon,0,0.0,9474
Sweden,2021-04-05,Eta,4,0.04,9474
Sweden,2021-04-05,Iota,1,0.01,9474
Sweden,2021-04-05,Lambda,0,0.0,9474
Sweden,2021-04-05,B.1.621,0,0.0,9474
Sweden,2021-04-05,S:677P.Pelican,,,9474
Sweden,2021-04-05,S:677H.Robin1,,,9474
Sweden,2021-04-05,others,108,1.14,9474
Sweden,2021-04-05,non_who,305,3.22,9474
Sweden,2021-04-19,B.1.160,19,0.34,5602
Sweden,2021-04-19,B.1.620,1,0.02,5602
Sweden,2021-04-19,B.1.258,8,0.14,5602
Sweden,2021-04-19,B.1.221,4,0.07,5602
Sweden,2021-04-19,B.1.1.302,0,0.0,5602
Sweden,2021-04-19,B.1.1.277,0,0.0,5602
Sweden,2021-04-19,B.1.1.519,0,0.0,5602
Sweden,2021-04-19,B.1.367,2,0.04,5602
Sweden,2021-04-19,B.1.177,61,1.09,5602
Sweden,2021-04-19,Beta,167,2.98,5602
Sweden,2021-04-19,Alpha,5282,94.29,5602
Sweden,2021-04-19,Gamma,4,0.07,5602
Sweden,2021-04-19,Delta,7,0.12,5602
